sl_no,author,coauthor,Journal Paper Title,JournalTitle,JournalName,Volume,Issue,Pages,ArticleNumber,DateOfPublication,Year,DOI,Publisher,SJR,Quartile,NumberOfCitations,IsConference,ConferenceDate,ConferenceLocation,URL,h_index,i10_index,total_citations,document_count,ScopusVerified,ORCID
14,Dr.A Parkavi,Mallegowda M.,Performance Comparison of Serial and Parallel Fruit Classification Using Pretrained Neural Networks,Performance Comparison of Serial and Parallel Fruit Classification Using Pretrained Neural Networks,Lecture Notes in Networks and Systems,1500 LNNS,,723-737,2-s2.0-105028319457,2025-01-01,2025,10.1007/978-981-96-8343-7_56,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105028319457,,,,,YES,
15,Dr.A Parkavi,Parkavi A.,Smart Safety Solution: Wearable Health Tracker with Cloud Based Alerts and Fall Detection,Smart Safety Solution: Wearable Health Tracker with Cloud Based Alerts and Fall Detection,2025 IEEE International Conference on Vehicular Technology and Transportation System Icvtts 2025,,,1-6,2-s2.0-105032070714,2025-01-01,2025,10.1109/ICVTTS67119.2025.11296498,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105032070714,,,,,YES,
16,Dr.A Parkavi,Evangeline D.,Real Time Deepfake Detection System Using MobileNetV1,Real Time Deepfake Detection System Using MobileNetV1,International Conference on Emerging Technologies in Electronics and Green Energy Iceteg 2025,,,1-5,2-s2.0-105037574931,2025-01-01,2025,10.1109/ICETEG66194.2025.11473002,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105037574931,,,,,YES,
17,Dr.A Parkavi,Thilagavathy R.,Digital transformation in healthcare using eagle perching optimizer with deep learning model,Digital transformation in healthcare using eagle perching optimizer with deep learning model,Expert Systems,42,1,e13390,2-s2.0-85165240969,2025-01-01,2025,10.1111/exsy.13390,John Wiley and Sons Inc,N/A,Q1,4,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85165240969,,,,,YES,
18,Dr.A Parkavi,Pushpalatha M.N.,Kannada Speech to Sign Language Converter: A Novel Platform Integrates Indian Sign Language and Speech-to-Text Technology,Kannada Speech to Sign Language Converter: A Novel Platform Integrates Indian Sign Language and Speech-to-Text Technology,3rd International Conference on Microwave Optical and Communication Engineering Icmoce 2025,,,1-5,2-s2.0-105012574117,2025-01-01,2025,10.1109/ICMOCE64100.2025.11077098,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105012574117,,,,,YES,
19,Dr.A Parkavi,Evangeline D.,Real-Time Face Presentation Attack Detection Using Deep Learning,Real-Time Face Presentation Attack Detection Using Deep Learning,International Conference on Emerging Technologies in Electronics and Green Energy Iceteg 2025,,,1-6,2-s2.0-105037575739,2025-01-01,2025,10.1109/ICETEG66194.2025.11472872,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105037575739,,,,,YES,
20,Dr.A Parkavi,Parkavi A.,Drone-Based Intelligent System for Social Distancing Compliance Using YOLOv5 and YOLOv6 with Euclidean Distance Metric,Drone-Based Intelligent System for Social Distancing Compliance Using YOLOv5 and YOLOv6 with Euclidean Distance Metric,SN Computer Science,5,8,972,2-s2.0-85206622376,2024-12-01,2024,10.1007/s42979-024-03304-3,Springer,N/A,Q1,6,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85206622376,,,,,YES,
21,Dr.A Parkavi,Menon S.,Streamlining Task Planning Systems for Improved Enactment in Contemporary Computing Surroundings,Streamlining Task Planning Systems for Improved Enactment in Contemporary Computing Surroundings,SN Computer Science,5,8,993,2-s2.0-85208092239,2024-12-01,2024,10.1007/s42979-024-03267-5,Springer,N/A,Q1,32,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85208092239,,,,,YES,
22,Dr.A Parkavi,Mamatha A.,Managing and controlling the covid-19 pandemic,Managing and controlling the covid-19 pandemic,Modelling of Virtual Worlds Using the Internet of Things,,,198-216,2-s2.0-85199067288,2024-07-31,2024,10.1201/9781003480181-8,CRC Press,N/A,N/A,3,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85199067288,,,,,YES,
23,Dr.A Parkavi,Subramanya S.G.,Detection and Classification of Grape Leaf Diseases using EfficientNet Model,Detection and Classification of Grape Leaf Diseases using EfficientNet Model,IEEE International Conference on Recent Advances in Science and Engineering Technology Icraset 2024,,,1-5,2-s2.0-105000515707,2024-01-01,2024,10.1109/ICRASET63057.2024.10895364,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,3,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105000515707,,,,,YES,
24,Dr.A Parkavi,Evangeline D.,Facial Emotion Recognition of Online Learners Using a Hybrid Deep Learning Model,Facial Emotion Recognition of Online Learners Using a Hybrid Deep Learning Model,International Journal of Intelligent Engineering and Systems,17,6,735-751,2-s2.0-85207900952,2024-01-01,2024,10.22266/ijies2024.1231.56,Intelligent Network and Systems Society,N/A,Q1,6,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85207900952,,,,,YES,
25,Dr.A Parkavi,Sushma S.,Translation from Kannada to Indian Sign Language with an Instructional Avatar to Facilitate Computer Science Education,Translation from Kannada to Indian Sign Language with an Instructional Avatar to Facilitate Computer Science Education,Lecture Notes in Networks and Systems,1074 LNNS,,161-174,2-s2.0-85210881068,2024-01-01,2024,10.1007/978-981-97-6103-6_11,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85210881068,,,,,YES,
26,Dr.A Parkavi,Pallavi T.P.,Enhancing Educational Content Interaction: A Case Study on the Integration of Annotation and Video Recommendation Systems,Enhancing Educational Content Interaction: A Case Study on the Integration of Annotation and Video Recommendation Systems,2024 IEEE 9th International Conference for Convergence in Technology I2ct 2024,,,1-5,2-s2.0-85196793546,2024-01-01,2024,10.1109/I2CT61223.2024.10543230,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85196793546,,,,,YES,
27,Dr.A Parkavi,Parkavi A.,Deep Learning Classroom Management System for Exam Monitoring and Student Behavior Detection,Deep Learning Classroom Management System for Exam Monitoring and Student Behavior Detection,8th International Conference on I Smac Iot in Social Mobile Analytics and Cloud I Smac 2024 Proceedings,,,2004-2009,2-s2.0-85208559238,2024-01-01,2024,10.1109/I-SMAC61858.2024.10714864,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,2,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85208559238,,,,,YES,
28,Dr.A Parkavi,Evangeline D.,Labor Safety Analysis Using Object Recognition and Deep Learning,Labor Safety Analysis Using Object Recognition and Deep Learning,Smart Innovation Systems and Technologies,376,,195-205,2-s2.0-85187639095,2024-01-01,2024,10.1007/978-981-99-7711-6_16,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85187639095,,,,,YES,
29,Dr.A Parkavi,Evangeline D.,Person Identification using Periocular Region,Person Identification using Periocular Region,Proceedings of the 2nd International Conference on Intelligent and Innovative Technologies in Computing Electrical and Electronics Iciitcee 2024,,,1-6,2-s2.0-85189804501,2024-01-01,2024,10.1109/IITCEE59897.2024.10467577,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,2,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85189804501,,,,,YES,
30,Dr.A Parkavi,Harshavardhan A.,Deep learning modified neural networks with chicken swarm optimization-based lungs disease detection and severity classification,Deep learning modified neural networks with chicken swarm optimization-based lungs disease detection and severity classification,Journal of Electronic Imaging,32,6,,2-s2.0-85178135599,2023-11-01,2023,10.1117/1.JEI.32.6.062603,SPIE,N/A,Q1,17,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85178135599,,,,,YES,
31,Dr.A Parkavi,Parkavi A.,Educational data mining in improving outcome-based education for higher studies: An overview,Educational data mining in improving outcome-based education for higher studies: An overview,Perspectives on Learning Analytics for Maximizing Student Outcomes,,,131-143,2-s2.0-85177610663,2023-10-24,2023,10.4018/978-1-6684-9527-8.ch007,IGI Global,N/A,N/A,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85177610663,,,,,YES,
32,Dr.A Parkavi,Alex S.A.,Data-driven mathematical modeling for AI-based security applications,Data-driven mathematical modeling for AI-based security applications,Handbook of Research on Data Driven Mathematical Modeling in Smart Cities,,,175-191,2-s2.0-85151882407,2023-02-17,2023,10.4018/978-1-6684-6408-3.ch010,IGI Global,N/A,N/A,2,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85151882407,,,,,YES,
33,Dr.A Parkavi,Parkavi A.,Designing a book recommendation system in library using collaborative filtering system,Designing a book recommendation system in library using collaborative filtering system,2023 14th International Conference on Computing Communication and Networking Technologies Icccnt 2023,,,1-5,2-s2.0-85179842159,2023-01-01,2023,10.1109/ICCCNT56998.2023.10307061,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85179842159,,,,,YES,
34,Dr.A Parkavi,Parkavi A.,Electric Vehicle Charging Station Aggregator Application,Electric Vehicle Charging Station Aggregator Application,2023 2nd International Conference on Smart Technologies and Systems for Next Generation Computing Icstsn 2023,,,1-6,2-s2.0-85164248785,2023-01-01,2023,10.1109/ICSTSN57873.2023.10151642,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,2,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85164248785,,,,,YES,
35,Dr.A Parkavi,Parkavi A.,Advanced Agro Management Using Machine Learning and IoT,Advanced Agro Management Using Machine Learning and IoT,Proceedings of Nkcon 2023 2nd IEEE North Karnataka Subsection Flagship International Conference,,,1-6,2-s2.0-85184989030,2023-01-01,2023,10.1109/NKCon59507.2023.10396602,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,2,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85184989030,,,,,YES,
36,Dr.A Parkavi,Parkavi A.,Customer Feedback Analysis Based on Emotion Detection Using Machine Learning Techniques with Privacy Preservation,Customer Feedback Analysis Based on Emotion Detection Using Machine Learning Techniques with Privacy Preservation,Proceedings of the International Conference on Circuit Power and Computing Technologies Iccpct 2023,,,1617-1624,2-s2.0-85173893537,2023-01-01,2023,10.1109/ICCPCT58313.2023.10244876,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,3,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85173893537,,,,,YES,
37,Dr.A Parkavi,Parkavi A.,Android application for food label recognition to ensure safe food consumption based on user allergen information leveraging OCR,Android application for food label recognition to ensure safe food consumption based on user allergen information leveraging OCR,2023 14th International Conference on Computing Communication and Networking Technologies Icccnt 2023,,,1-6,2-s2.0-85179838961,2023-01-01,2023,10.1109/ICCCNT56998.2023.10307054,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,9,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85179838961,,,,,YES,
38,Dr.A Parkavi,Parkavi A.,Deep Learning Techniques for the Detection and Classification of Oral Cancer Using Histopathological Images,Deep Learning Techniques for the Detection and Classification of Oral Cancer Using Histopathological Images,Proceedings of the International Conference on Circuit Power and Computing Technologies Iccpct 2023,,,1625-1630,2-s2.0-85173892621,2023-01-01,2023,10.1109/ICCPCT58313.2023.10244890,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,7,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85173892621,,,,,YES,
39,Dr.A Parkavi,Evangeline D.,Automated Music Synthesis Using Recurrent Neural Network and Long Short Term Memory,Automated Music Synthesis Using Recurrent Neural Network and Long Short Term Memory,2023 International Conference on New Frontiers in Communication Automation Management and Security Iccams 2023,,,1-5,2-s2.0-85194198574,2023-01-01,2023,10.1109/ICCAMS60113.2023.10525888,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85194198574,,,,,YES,
40,Dr.A Parkavi,Subramanya S.G.,Early and Late Blight Disease Detection in Potato,Early and Late Blight Disease Detection in Potato,2023 14th International Conference on Computing Communication and Networking Technologies Icccnt 2023,,,1-7,2-s2.0-85179838758,2023-01-01,2023,10.1109/ICCCNT56998.2023.10307747,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,3,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85179838758,,,,,YES,
41,Dr.A Parkavi,yadahalli Z.A.,Anomalous Behavior Detection in Examination,Anomalous Behavior Detection in Examination,Lecture Notes in Electrical Engineering,834,,257-263,2-s2.0-85126371271,2022-01-01,2022,10.1007/978-981-16-8484-5_23,Springer Science and Business Media Deutschland GmbH,N/A,Q1,1,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85126371271,,,,,YES,
42,Dr.A Parkavi,Evangeline D.,Comparative Study on Online Teaching Learning Tools,Comparative Study on Online Teaching Learning Tools,Lecture Notes in Electrical Engineering,828,,49-57,2-s2.0-85130896717,2022-01-01,2022,10.1007/978-981-16-7985-8_6,Springer Science and Business Media Deutschland GmbH,N/A,Q1,1,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85130896717,,,,,YES,
43,Dr.A Parkavi,Nikhila P.,Social Distance Detector Using Computer Vision and Deep Learning to Combat COVID-19,Social Distance Detector Using Computer Vision and Deep Learning to Combat COVID-19,4th International Conference on Circuits Control Communication and Computing I4c 2022,,,511-514,2-s2.0-85150295319,2022-01-01,2022,10.1109/I4C57141.2022.10057749,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85150295319,,,,,YES,
44,Dr.A Parkavi,Evangeline D.,A Survey on Soft Biometric Techniques,A Survey on Soft Biometric Techniques,Lecture Notes in Electrical Engineering,828,,59-68,2-s2.0-85130924124,2022-01-01,2022,10.1007/978-981-16-7985-8_7,Springer Science and Business Media Deutschland GmbH,N/A,Q1,1,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85130924124,,,,,YES,
45,Dr.A Parkavi,Kurne K.C.,AI Techniques for Detecting and Diagnosing COVID-19,AI Techniques for Detecting and Diagnosing COVID-19,2022 International Conference for Advancement in Technology Iconat 2022,,,1-5,2-s2.0-85127562923,2022-01-01,2022,10.1109/ICONAT53423.2022.9725835,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85127562923,,,,,YES,
46,Dr.A Parkavi,Pavana M.S.,Software Fault Prediction Using Machine Learning Algorithms,Software Fault Prediction Using Machine Learning Algorithms,Lecture Notes in Electrical Engineering,881,,185-197,2-s2.0-85134318712,2022-01-01,2022,10.1007/978-981-19-1111-8_16,Springer Science and Business Media Deutschland GmbH,N/A,Q1,7,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85134318712,,,,,YES,
47,Dr.A Parkavi,Parkavi A.,“SmartEval”—Evaluation System for Descriptive Answers in Examinations Using Natural Language Processing and Artificial Neural Networks,“SmartEval”—Evaluation System for Descriptive Answers in Examinations Using Natural Language Processing and Artificial Neural Networks,Lecture Notes in Networks and Systems,237,,557-567,2-s2.0-85123638069,2022-01-01,2022,10.1007/978-981-16-6407-6_49,Springer Science and Business Media Deutschland GmbH,N/A,Q1,3,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85123638069,,,,,YES,
48,Dr.A Parkavi,Sunitha G.,Modeling of Chaotic Political Optimizer for Crop Yield Prediction,Modeling of Chaotic Political Optimizer for Crop Yield Prediction,Intelligent Automation and Soft Computing,34,1,423-437,2-s2.0-85129017065,2022-01-01,2022,10.32604/iasc.2022.024757,Tech Science Press,N/A,Q1,19,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85129017065,,,,,YES,
49,Dr.A Parkavi,Parkavi A.,"""FRIENDLY CHAT""- A chat application with multi-headed classification models for identifying abusive levels and their comparative study","""FRIENDLY CHAT""- A chat application with multi-headed classification models for identifying abusive levels and their comparative study",Journal of Physics Conference Series,1706,1,012145,2-s2.0-85098517222,2020-12-22,2020,10.1088/1742-6596/1706/1/012145,IOP Publishing Ltd,N/A,Q1,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85098517222,,,,,YES,
50,Dr.A Parkavi,Harini B.K.,"Increasing Efficient Usage of Real-Time Public Transportation Using IOT, Cloud and Customized Mobile App","Increasing Efficient Usage of Real-Time Public Transportation Using IOT, Cloud and Customized Mobile App",SN Computer Science,1,3,159,2-s2.0-85126282076,2020-05-01,2020,10.1007/s42979-020-00161-8,Springer,N/A,Q1,9,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85126282076,,,,,YES,
51,Dr.A Parkavi,Prem Kumar M.K.,Quality grading of the fruits and vegetables using image processing techniques and machine learning: a review,Quality grading of the fruits and vegetables using image processing techniques and machine learning: a review,Lecture Notes in Electrical Engineering,656,,477-486,2-s2.0-85087033239,2020-01-01,2020,10.1007/978-981-15-3992-3_40,Springer,N/A,Q1,13,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85087033239,,,,,YES,
52,Dr.A Parkavi,Iyer K.,Efficient Model for Searching and Detecting Semantically Similar Question in Discussion Forums of e-learning Platforms,Efficient Model for Searching and Detecting Semantically Similar Question in Discussion Forums of e-learning Platforms,2019 4th IEEE International Conference on Recent Trends on Electronics Information Communication and Technology Rteict 2019 Proceedings,,,1113-1118,2-s2.0-85082394254,2019-05-01,2019,10.1109/RTEICT46194.2019.9016786,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,5,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85082394254,,,,,YES,
53,Dr.A Parkavi,Begum A.,Prediction of thyroid Disease Using Data Mining Techniques,Prediction of thyroid Disease Using Data Mining Techniques,2019 5th International Conference on Advanced Computing and Communication Systems Icaccs 2019,,,342-345,2-s2.0-85067934488,2019-03-01,2019,10.1109/ICACCS.2019.8728320,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,61,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85067934488,,,,,YES,
54,Dr.A Parkavi,Patil A.P.,A Study of Opinion Mining and Data Mining Techniques to Analyse the Cryptocurrency Market,A Study of Opinion Mining and Data Mining Techniques to Analyse the Cryptocurrency Market,Proceedings 2018 3rd International Conference on Computational Systems and Information Technology for Sustainable Solutions Csitss 2018,,,198-203,2-s2.0-85070407032,2018-12-01,2018,10.1109/CSITSS.2018.8768762,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,10,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85070407032,,,,,YES,
55,Dr.A Parkavi,Parkavi A.,The Patterns that Don't Exist : Study on the effects of psychological human biases in data analysis and decision making,The Patterns that Don't Exist : Study on the effects of psychological human biases in data analysis and decision making,Proceedings 2018 3rd International Conference on Computational Systems and Information Technology for Sustainable Solutions Csitss 2018,,,193-197,2-s2.0-85070405304,2018-12-01,2018,10.1109/CSITSS.2018.8768554,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,4,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85070405304,,,,,YES,
56,Dr.A Parkavi,Manjunatha M.,Estimation of Arecanut Yield in Various Climatic Zones of Karnataka using Data Mining Technique: A Survey,Estimation of Arecanut Yield in Various Climatic Zones of Karnataka using Data Mining Technique: A Survey,Proceedings of the 2018 International Conference on Current Trends Towards Converging Technologies Icctct 2018,,,1-4,2-s2.0-85059962182,2018-11-27,2018,10.1109/ICCTCT.2018.8551083,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,5,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85059962182,,,,,YES,
57,Dr.A Parkavi,Likitha Korad S.,Recommendation engine to improvise curriculum of OBE by using comparative analysis of institutional curriculum with industrial requirements,Recommendation engine to improvise curriculum of OBE by using comparative analysis of institutional curriculum with industrial requirements,Advances in Intelligent Systems and Computing,628,,217-226,2-s2.0-85042803489,2018-01-01,2018,10.1007/978-981-10-5272-9_21,Springer Verlagservice@springer.de,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85042803489,,,,,YES,
58,Dr.A Parkavi,Parkavi A.,Predicting the course knowledge level of students using data mining techniques,Predicting the course knowledge level of students using data mining techniques,2017 IEEE International Conference on Smart Technologies and Management for Computing Communication Controls Energy and Materials Icstm 2017 Proceedings,,,128-133,2-s2.0-85040251362,2017-10-27,2017,10.1109/ICSTM.2017.8089138,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,3,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85040251362,,,,,YES,
59,Dr.A Parkavi,Parkavi A.,Pattern analysis of blooms knowledge level students performance using association rule mining,Pattern analysis of blooms knowledge level students performance using association rule mining,2017 IEEE International Conference on Smart Technologies and Management for Computing Communication Controls Energy and Materials Icstm 2017 Proceedings,,,90-93,2-s2.0-85040239580,2017-10-27,2017,10.1109/ICSTM.2017.8089132,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,3,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85040239580,,,,,YES,
