sl_no,author,coauthor,Journal Paper Title,JournalTitle,JournalName,Volume,Issue,Pages,ArticleNumber,DateOfPublication,Year,DOI,Publisher,SJR,Quartile,NumberOfCitations,IsConference,ConferenceDate,ConferenceLocation,URL,h_index,i10_index,total_citations,document_count,ScopusVerified,ORCID
18,Dr.Shilpa S Chaudhari,Chaudhari S.,Post Quantum Cryptography Enabled Hybrid Secure Web Browser for Future-Proof Communication,Post Quantum Cryptography Enabled Hybrid Secure Web Browser for Future-Proof Communication,2025 3rd International Conference on Sustainable Computing and Smart Systems Icscss 2025,,,1369-1374,2-s2.0-105041110735,2025-01-01,2025,10.1109/ICSCSS64956.2025.11500978,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105041110735,,,,,YES,
19,Dr.Shilpa S Chaudhari,Chaudhari S.S.,Kookaburra Optimization-enabled SpinalNet for MAC Scheduling in 5G Networks,Kookaburra Optimization-enabled SpinalNet for MAC Scheduling in 5G Networks,2025 IEEE International Conference on Electronics Computing and Communication Technologies Conecct 2025,,,1-6,2-s2.0-105032670397,2025-01-01,2025,10.1109/CONECCT65861.2025.11306828,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105032670397,,,,,YES,
20,Dr.Shilpa S Chaudhari,Chaudhari S.S.,Transfer Learning-based DDoS Detection and Mitigation in a MATLAB-Simulated 5G Network Environment,Transfer Learning-based DDoS Detection and Mitigation in a MATLAB-Simulated 5G Network Environment,Proceedings 3rd International Conference on Self Sustainable Artificial Intelligence Systems Icssas 2025,,,772-778,2-s2.0-105012817192,2025-01-01,2025,10.1109/ICSSAS66150.2025.11081334,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105012817192,,,,,YES,
21,Dr.Shilpa S Chaudhari,Nandini S.B.,Enhancing MIMO Performance with Channel State Information in Open Air Interface for 5G Network,Enhancing MIMO Performance with Channel State Information in Open Air Interface for 5G Network,International Conference on Smart Systems for Applications in Electrical Sciences Icsses 2025,,,1-5,2-s2.0-105008326471,2025-01-01,2025,10.1109/ICSSES64899.2025.11009373,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105008326471,,,,,YES,
22,Dr.Shilpa S Chaudhari,Patil V.R.,Bio-Inspired Based Optimization of Machine Learning Techniques for Energy Efficient Routing for UWSN,Bio-Inspired Based Optimization of Machine Learning Techniques for Energy Efficient Routing for UWSN,SN Computer Science,5,8,983,2-s2.0-85207421981,2024-12-01,2024,10.1007/s42979-024-03359-2,Springer,N/A,Q1,6,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85207421981,,,,,YES,
23,Dr.Shilpa S Chaudhari,Shankar S.P.,Analysis of Bio Inspired Based Hybrid Learning Model for Software Defect Prediction,Analysis of Bio Inspired Based Hybrid Learning Model for Software Defect Prediction,SN Computer Science,5,7,825,2-s2.0-85202167071,2024-10-01,2024,10.1007/s42979-024-03171-y,Springer,N/A,Q1,5,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85202167071,,,,,YES,
24,Dr.Shilpa S Chaudhari,Siva S.,Deep Learning Framework with Convolutional Sequential Semantic Embedding for Mining High-Utility Itemsets and Top-N Recommendations,Deep Learning Framework with Convolutional Sequential Semantic Embedding for Mining High-Utility Itemsets and Top-N Recommendations,Journal of Information and Communication Convergence Engineering,22,1,44-55,2-s2.0-85192107736,2024-01-01,2024,10.56977/jicce.2024.22.1.44,Korea Institute of Information and Communication Engineering,N/A,Q1,1,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85192107736,,,,,YES,
25,Dr.Shilpa S Chaudhari,Tolanur J.,DDoS Attack Detection Using Hybrid Caviar Kookaburra Optimization Enabled SpinalNet in Cloud Computing,DDoS Attack Detection Using Hybrid Caviar Kookaburra Optimization Enabled SpinalNet in Cloud Computing,International Journal of Intelligent Engineering and Systems,17,6,273-283,2-s2.0-85207875791,2024-01-01,2024,10.22266/ijies2024.1231.22,Intelligent Network and Systems Society,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85207875791,,,,,YES,
26,Dr.Shilpa S Chaudhari,Manasa M.,Spider Monkey Optimization-Based Image Data Forgery Detection Over Vehicular Cloud Computing,Spider Monkey Optimization-Based Image Data Forgery Detection Over Vehicular Cloud Computing,Smart Innovation Systems and Technologies,376,,333-343,2-s2.0-85187671969,2024-01-01,2024,10.1007/978-981-99-7711-6_27,Springer Science and Business Media Deutschland GmbH,N/A,Q1,1,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85187671969,,,,,YES,
27,Dr.Shilpa S Chaudhari,Velumail S.,Federated Vehicular Tailgating Detection Utilizing Distance and Speed Data Analytics for Intelligent Transport System,Federated Vehicular Tailgating Detection Utilizing Distance and Speed Data Analytics for Intelligent Transport System,Proceedings of the 2024 10th International Conference on Communication and Signal Processing Iccsp 2024,,,1321-1326,2-s2.0-85195952915,2024-01-01,2024,10.1109/ICCSP60870.2024.10544043,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85195952915,,,,,YES,
28,Dr.Shilpa S Chaudhari,Kanavalli A.,Trust-Based Data Fusion and Machine Learning for Underwater Sensor Networks,Trust-Based Data Fusion and Machine Learning for Underwater Sensor Networks,2024 4th Asian Conference on Innovation in Technology Asiancon 2024,,,1-6,2-s2.0-85218172105,2024-01-01,2024,10.1109/ASIANCON62057.2024.10838202,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,2,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85218172105,,,,,YES,
29,Dr.Shilpa S Chaudhari,Kalyani G.,A Grey Wolf Integrated with Jaya Optimization Based Route Selection in IoT Network,A Grey Wolf Integrated with Jaya Optimization Based Route Selection in IoT Network,Lecture Notes in Electrical Engineering,1106,,145-152,2-s2.0-85188267875,2024-01-01,2024,10.1007/978-981-99-7954-7_14,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85188267875,,,,,YES,
30,Dr.Shilpa S Chaudhari,Chaudhari S.,Hash Overhead Analysis for GOP-level Video Deduplication in Cloud Storage Environment,Hash Overhead Analysis for GOP-level Video Deduplication in Cloud Storage Environment,International Conference on Smart Systems for Applications in Electrical Sciences Icsses 2024,,,1-6,2-s2.0-85197924503,2024-01-01,2024,10.1109/ICSSES62373.2024.10561372,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85197924503,,,,,YES,
31,Dr.Shilpa S Chaudhari,Chaudhari S.S.,Sand Cat Swarm Intelligent based Random Forest Approach for DDoS Attack Detection in IoT Network Scenario using NS3,Sand Cat Swarm Intelligent based Random Forest Approach for DDoS Attack Detection in IoT Network Scenario using NS3,Proceedings of Conecct 2024 10th IEEE International Conference on Electronics Computing and Communication Technologies,,,1-6,2-s2.0-85205756627,2024-01-01,2024,10.1109/CONECCT62155.2024.10677150,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85205756627,,,,,YES,
32,Dr.Shilpa S Chaudhari,Chaudhari S.,Simulation-Based Evaluation of Multisink Routing Protocol in Underwater Network Environments,Simulation-Based Evaluation of Multisink Routing Protocol in Underwater Network Environments,International Conference on Smart Systems for Applications in Electrical Sciences Icsses 2024,,,1-5,2-s2.0-85197863612,2024-01-01,2024,10.1109/ICSSES62373.2024.10561405,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,2,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85197863612,,,,,YES,
33,Dr.Shilpa S Chaudhari,Chaudhari S.,A Bio-inspired and Deep Learning Based Hybrid Model for Agricultural Drought Assessment,A Bio-inspired and Deep Learning Based Hybrid Model for Agricultural Drought Assessment,Journal of Water Management Modeling,32,,,2-s2.0-85186209385,2024-01-01,2024,10.14796/JWMM.C512,Computational Hydraulics Int.,N/A,Q1,2,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85186209385,,,,,YES,
34,Dr.Shilpa S Chaudhari,Sangeetha V.,Enhance fault identification in rotary equipment using Machine Learning algorithms,Enhance fault identification in rotary equipment using Machine Learning algorithms,2024 5th International Conference on Innovative Trends in Information Technology Icitiit 2024,,,1-6,2-s2.0-85199177956,2024-01-01,2024,10.1109/ICITIIT61487.2024.10580376,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,2,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85199177956,,,,,YES,
35,Dr.Shilpa S Chaudhari,Krishna Jyothi K.,An Energy-Efficient Mechanism Using Blockchain Technology for Machine-Type Communication in LTE Network,An Energy-Efficient Mechanism Using Blockchain Technology for Machine-Type Communication in LTE Network,Lecture Notes in Electrical Engineering,1106,,119-131,2-s2.0-85188270435,2024-01-01,2024,10.1007/978-981-99-7954-7_12,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85188270435,,,,,YES,
36,Dr.Shilpa S Chaudhari,Chaudhari S.,SURVEY OF IMAGE DEDUPLICATION FOR CLOUD STORAGE,SURVEY OF IMAGE DEDUPLICATION FOR CLOUD STORAGE,System Research and Information Technologies,2023,4,113-134,2-s2.0-85184697452,2023-12-26,2023,10.20535/SRIT.2308-8893.2023.4.09,National Technical University of Ukraine Igor Sikorsky Kyiv Polytechnic Institute,N/A,Q1,3,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85184697452,,,,,YES,
37,Dr.Shilpa S Chaudhari,Chaudhari S.,Drought classification and prediction with satellite image-based indices using variants of deep learning models,Drought classification and prediction with satellite image-based indices using variants of deep learning models,International Journal of Information Technology Singapore,15,7,3463-3472,2-s2.0-85167802408,2023-10-01,2023,10.1007/s41870-023-01379-4,Springer Science and Business Media B.V.,N/A,Q1,23,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85167802408,,,,,YES,
38,Dr.Shilpa S Chaudhari,Shankar S.P.,Framework for the Automation of SDLC Phases using Artificial Intelligence and Machine Learning Techniques,Framework for the Automation of SDLC Phases using Artificial Intelligence and Machine Learning Techniques,International Journal on Recent and Innovation Trends in Computing and Communication,11,6 s,379-390,2-s2.0-85167356641,2023-06-01,2023,10.17762/ijritcc.v11i6s.6944,Auricle Global Society of Education and Research,N/A,Q1,7,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85167356641,,,,,YES,
39,Dr.Shilpa S Chaudhari,Chaudhari S.S.,Harris Hawk Optimization-Based Distributed Denial of Service Attack Detection in IoT Networks,Harris Hawk Optimization-Based Distributed Denial of Service Attack Detection in IoT Networks,2023 4th International Conference for Emerging Technology Incet 2023,,,1-7,2-s2.0-85166373276,2023-01-01,2023,10.1109/INCET57972.2023.10170502,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,2,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85166373276,,,,,YES,
40,Dr.Shilpa S Chaudhari,Tolanur J.,DDoS Attacks Analysis with Cyber Data Forensics using Weighted Logistic Regression and Random Forest,DDoS Attacks Analysis with Cyber Data Forensics using Weighted Logistic Regression and Random Forest,Proceedings IEEE International Conference on Device Intelligence Computing and Communication Technologies Dicct 2023,,,564-569,2-s2.0-85159301783,2023-01-01,2023,10.1109/DICCT56244.2023.10110133,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,3,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85159301783,,,,,YES,
41,Dr.Shilpa S Chaudhari,Chaudhari S.S.,A study on mobile telecommunication systems using OpenAirInterface platform,A study on mobile telecommunication systems using OpenAirInterface platform,International Journal of Experimental Research and Review,31,,150-167,2-s2.0-85171800476,2023-01-01,2023,10.52756/10.52756/IJERR.2023.V31SPL.015,International Academic Publishing House (IAPH),N/A,Q1,2,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85171800476,,,,,YES,
42,Dr.Shilpa S Chaudhari,Siva S.,Multi-Sized cumulative Summary Structure Driven Light Weight in Frequent Closed Itemset Mining to Increase High Utility,Multi-Sized cumulative Summary Structure Driven Light Weight in Frequent Closed Itemset Mining to Increase High Utility,Journal of Information and Communication Convergence Engineering,21,2,117-129,2-s2.0-85165009080,2023-01-01,2023,10.56977/jicce.2023.21.2.117,Korea Institute of Information and Communication Engineering,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85165009080,,,,,YES,
43,Dr.Shilpa S Chaudhari,Bhavana D.,Performance Evaluation of Openairinterface's Scheduling Algorithms for 5G Networks,Performance Evaluation of Openairinterface's Scheduling Algorithms for 5G Networks,2023 4th International Conference for Emerging Technology Incet 2023,,,,2-s2.0-85166364549,2023-01-01,2023,10.1109/INCET57972.2023.10170129,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,4,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85166364549,,,,,YES,
44,Dr.Shilpa S Chaudhari,Siva S.,Cumulative Summary List Driven Lightweight Frequent Closed High Utility Itemset Mining,Cumulative Summary List Driven Lightweight Frequent Closed High Utility Itemset Mining,2023 2nd International Conference for Innovation in Technology Inocon 2023,,,1-6,2-s2.0-85158026051,2023-01-01,2023,10.1109/INOCON57975.2023.10101053,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85158026051,,,,,YES,
45,Dr.Shilpa S Chaudhari,Paudel A.,Hybrid Model of Fireworks Algorithm and Deep Learning for Drought Prediction using Satellite Data,Hybrid Model of Fireworks Algorithm and Deep Learning for Drought Prediction using Satellite Data,Proceedings of Conecct 2023 9th International Conference on Electronics Computing and Communication Technologies,,,1-5,2-s2.0-85172687443,2023-01-01,2023,10.1109/CONECCT57959.2023.10234814,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85172687443,,,,,YES,
46,Dr.Shilpa S Chaudhari,Shankar S.P.,Software Defect Predictor and Classifier Tool Using Machine Learning Techniques,Software Defect Predictor and Classifier Tool Using Machine Learning Techniques,2023 International Conference on Network Multimedia and Information Technology Nmitcon 2023,,,1-6,2-s2.0-85175399400,2023-01-01,2023,10.1109/NMITCON58196.2023.10275871,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,4,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85175399400,,,,,YES,
47,Dr.Shilpa S Chaudhari,Chaudhari S.S.,Intelligent DDoS Attack Detection for IoT Network Scenario using NS3,Intelligent DDoS Attack Detection for IoT Network Scenario using NS3,International Conference on Integrated Intelligence and Communication Systems Iciics 2023,,,1-6,2-s2.0-85186088418,2023-01-01,2023,10.1109/ICIICS59993.2023.10421286,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85186088418,,,,,YES,
48,Dr.Shilpa S Chaudhari,Anchalia A.,Integration of Swarm Intelligence with KNN for Optimal Nearest Neighbors Value Prediction,Integration of Swarm Intelligence with KNN for Optimal Nearest Neighbors Value Prediction,Proceedings of Conecct 2023 9th International Conference on Electronics Computing and Communication Technologies,,,1-6,2-s2.0-85172661537,2023-01-01,2023,10.1109/CONECCT57959.2023.10234790,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85172661537,,,,,YES,
49,Dr.Shilpa S Chaudhari,Siva S.,IS COMPUTATIONAL ALGORITHM FOR HIGH MINING ITEMSETS EFFECTIVE?,IS COMPUTATIONAL ALGORITHM FOR HIGH MINING ITEMSETS EFFECTIVE?,Journal of Theoretical and Applied Information Technology,100,23,6934-6943,2-s2.0-85144365778,2022-12-15,2022,SCOPUS_ID:85144365778,Little Lion Scientific,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85144365778,,,,,YES,
50,Dr.Shilpa S Chaudhari,Krishna Jyothi K.,A novel block chain based cluster head authentication protocol for machine-type communication in LTE network: Statistical analysis on attack detection,A novel block chain based cluster head authentication protocol for machine-type communication in LTE network: Statistical analysis on attack detection,Journal of King Saud University Computer and Information Sciences,34,6,3713-3721,S1319157820304523,2022-06-01,2022,10.1016/j.jksuci.2020.08.014,King Saud bin Abdulaziz University,N/A,Q1,5,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85091218260,,,,,YES,
51,Dr.Shilpa S Chaudhari,Kalyani G.,Data privacy preservation in MAC aware Internet of things with optimized key generation,Data privacy preservation in MAC aware Internet of things with optimized key generation,Journal of King Saud University Computer and Information Sciences,34,5,2062-2071,S1319157819311218,2022-05-01,2022,10.1016/j.jksuci.2019.12.008,King Saud bin Abdulaziz University,N/A,Q1,12,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85077308819,,,,,YES,
52,Dr.Shilpa S Chaudhari,Kalyani G.,Cross Layer Security MAC Aware Routing Protocol for IoT Networks,Cross Layer Security MAC Aware Routing Protocol for IoT Networks,Wireless Personal Communications,123,1,935-957,2-s2.0-85116759069,2022-03-01,2022,10.1007/s11277-021-09163-y,Springer,N/A,Q1,8,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85116759069,,,,,YES,
53,Dr.Shilpa S Chaudhari,Chaudhari S.,A Survey on Game Theory based Interference Mitigation in WBASN,A Survey on Game Theory based Interference Mitigation in WBASN,International Journal of Sensors Wireless Communications and Control,12,2,108-121,2-s2.0-85126619806,2022-02-01,2022,10.2174/2210327911666210120120946,Bentham Science Publishers,N/A,Q1,2,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85126619806,,,,,YES,
54,Dr.Shilpa S Chaudhari,Krishna Jyothi K.,A secure cluster-based authentication and key management protocol for machine-type communication in the LTE network,A secure cluster-based authentication and key management protocol for machine-type communication in the LTE network,International Journal of Computers and Applications,44,12,1150-1160,2-s2.0-85075479461,2022-01-01,2022,10.1080/1206212X.2019.1693000,Taylor and Francis Ltd.,N/A,Q1,3,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85075479461,,,,,YES,
55,Dr.Shilpa S Chaudhari,Shubhashree L.A.,A Nutrition-Based Smart Recipe Recommender For Healthy Living,A Nutrition-Based Smart Recipe Recommender For Healthy Living,2022 IEEE 3rd Global Conference for Advancement in Technology Gcat 2022,,,1-6,2-s2.0-85145439529,2022-01-01,2022,10.1109/GCAT55367.2022.9971930,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,3,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85145439529,,,,,YES,
56,Dr.Shilpa S Chaudhari,Pj S.,Video Deduplication using CNN(Conv2d) and SHA-256 hashing,Video Deduplication using CNN(Conv2d) and SHA-256 hashing,2022 4th International Conference on Cognitive Computing and Information Processing Ccip 2022,,,1-8,2-s2.0-85152230667,2022-01-01,2022,10.1109/CCIP57447.2022.10058663,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,4,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85152230667,,,,,YES,
